M(GeV)	GamTot_T(GeV)	BR(Zt)	BR(ht)	GamTot_B(GeV)
600	9.023562970220198	0.702703688055857	0.2972963119441429	12.7148112461041
700	9.748598674356646	0.6683022503349895	0.3316977496650105	13.047795197883024
800	10.561560907470518	0.6432739510059794	0.35672604899402066	13.598637043575696
900	11.42647698227972	0.6244033257184611	0.37559667428153864	14.27639157429943
1000	12.324288799186487	0.6097423031541322	0.3902576968458677	15.034037135764196
1100	13.244111024701878	0.5980630294715571	0.40193697052844296	15.845034322892056
1200	14.179324999119896	0.58856175151783	0.4114382484821701	16.693343113421992
1300	15.125694914137489	0.5806940497474607	0.41930595025253925	17.568727498593734
1400	16.080393065729385	0.5740798619702335	0.42592013802976647	18.46436112930706
1500	17.04146410164295	0.5684467374429789	0.4315532625570211	19.375523046381893
1600	18.007515074522424	0.5635947670914921	0.4364052329085078	20.298847359025913
1700	18.977528132337575	0.559374229122339	0.44062577087766086	21.231871388486233
1800	19.950743002769265	0.5556709356935465	0.44432906430645347	22.172752767750552
1900	20.926580836394265	0.5523963827122506	0.44760361728774933	23.12008630665233
2000	21.904593436265934	0.5494809765554852	0.45051902344451467	24.072781952310045
