M(GeV) Sigma(pp>Btj)(fb) Sigma(pp>Bbj)(fb) Gamma(B)(GeV)
600 181.02516439909292 - -
700 93.28753169111019 - -
800 50.92622793733293 - -
900 29.312210760222598 - -
1000 17.423706831849685 - -
1100 10.703208945492294 - -
1200 6.740954938141307 - -
1300 4.332586610291881 - -
1400 2.853417932711066 - -
1500 1.912936253613184 - -
1600 1.2879042078870386 - -
1700 0.8854082575730329 - -
1800 0.6090779824143824 - -
1900 0.42506914625734776 - -
2000 0.30135296100353764 - -
